# id	file_path	transparent_color_r	g	b
[TEXTURES]
0	textures\mario.png	255	255	255
20	textures\misc.png	176	224	248
10	textures\enemies.png	3	26	110
30	textures\Stage.png	127	255	142
40	textures\Stage.png	255	127	127
50	textures\Stage2.png	4	193	170
60	textures\1-1.png	156	252	240
70	textures\Stage.png	224	163	216
80	textures\Goal Roulette.png	0	183	239
90	textures\enemies-2.png	0	128	128
100	textures\mario1.png	255	255	255

# id	left	top	right	bottom	texture_id
[SPRITES]
# BIG MARIO 
# idle right
10001	246	154	260	181	0
# walk
10002	275	154	290	181	0		
10003	304	154	321	181	0
# idle left
10011	186	154	200	181	0
#walk
10012	155	154	170	181	0
10013	125	154	140	181	0
#jump
#right up
10014	395	275	411	301	0
#left up
10015	35	275	51	301	0
#right down
1016	305	155	321	171	0
#left down
1017	125	155	141	181	0
# die 
10099	215	120	231	135	0
# SMALL MARIO
# idle small right
10021	247	0	259	15	0
# walk
10022	275	0	291	15	0
10023	306	0	320	15	0
# idle small left
10031	187	0	198	15	0
# walk
10032	155	0	170	15	0
10033	125	0	139	15	0
#jump
10034	395	80	411	96	0
10035	35	80	51	96	0
# run faster right
100220	275	0	291	16	0
100221	335	0	351	16	0
# run faster left
100320	155	0	171	16	0
100321	95	0	111	16	0
#BRICK
20001	171	392	188	408	50
#GOOMBA
30001	5	14	21	29	10
30002	25	14	41	29	10
#die
30003	45	21	61	29	10
#STREET
#start small
1	443	154	459	170	30
#between small
2	460	154	476	170	30
#end small
3	477	154	493	170	30
#startdown
4	443	171	459	187	30
#betwendown
5	460	171	476	187	30
#enddowm
6	477	171	493	187	30
#brick blink
500	1038	1	1054	17	40
501	1055	1	1071	17	40
502	1072	1	1088	17	40
503	1089	1	1105	17	40
#brick with question mark animation
40000	1140	1	1156	17	40
40001	1157	1	1173	17	40
40002	1174	1	1190	17	40
40003	1191	1	1207	17	40
40004	1208	1	1224	17	40
#pipe
20	171	69	187	85	50
21	188	69	204	85	50
22	172	86	187	102	50	
23	188	86	203	102	50
#boxpink
24	52	1	68	17	50
25	69	1	85	17	50
26	86	1	102	17	50
27	52	18	68	34	50
28	69	18	85	34	50
29	86	18	102	34	50
30	52	35	68	51	50
31	69	35	85	51	50
32	86	35	102	51	50
#boxblue
33	103	1	119	17	50
34	120	1	136	17	50
35	137	1	153	17	50
36	103	18	119	34	50
37	120	18	136	34	50
38	137	18	153	34	50
39	103	35	119	51	50
40	120	35	136	51	50
41	137	35	153	51	50
#boxgren
42	154	1	170	17	50
43	171	1	187	17	50
44	188	1	204	17	50
45	154	18	170	34	50
46	171	18	187	34	50
47	188	18	204	34	50
48	154	35	170	51	50
49	171	35	187	51	50
50	188	35	204	51	50
#boxwhite
51	205	1	221	17	50
52	222	1	238	17	50
53	239	1	255	17	50
54	205	18	221	34	50
55	222	18	238	34	50
56	239	18	255	34	50
57	205	35	221	51	50
58	222	35	238	51	50
59	239	35	255	51	50
#Blackshade
60	256	9	264	17	50
61	256	18	264	34	50
62	256	35	264	51	50
